station_id,sensor_id,"latitude (degree)","longitude (degree)",date_time,"sea_floor_depth_below_sea_surface (m)","averaging interval (s)"
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,37.56,-50,2012-04-03T16:30:00Z,5390.485,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,37.56,-50,2012-04-03T16:45:00Z,5390.500,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,37.56,-50,2012-04-03T17:00:00Z,5390.521,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,37.56,-50,2012-04-03T17:15:00Z,5390.547,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,37.56,-50,2012-04-03T17:30:00Z,5390.575,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,37.56,-50,2012-04-03T17:45:00Z,5390.605,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,37.56,-50,2012-04-03T18:00:00Z,5390.635,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,37.56,-50,2012-04-03T18:15:00Z,5390.670,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,37.56,-50,2012-04-03T18:30:00Z,5390.705,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,37.56,-50,2012-04-03T18:45:00Z,5390.740,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,37.56,-50,2012-04-03T19:00:00Z,5390.779,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,37.56,-50,2012-04-03T19:15:00Z,5390.816,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,37.56,-50,2012-04-03T19:30:00Z,5390.852,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,37.56,-50,2012-04-03T19:45:00Z,5390.888,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,37.56,-50,2012-04-03T20:00:00Z,5390.921,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,37.56,-50,2012-04-03T20:15:00Z,5390.951,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,37.56,-50,2012-04-03T20:30:00Z,5390.978,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,37.56,-50,2012-04-03T20:45:00Z,5390.999,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,37.56,-50,2012-04-03T21:00:00Z,5391.017,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,37.56,-50,2012-04-03T21:15:00Z,5391.031,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,37.56,-50,2012-04-03T21:30:00Z,5391.039,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,37.56,-50,2012-04-03T21:45:00Z,5391.044,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,37.56,-50,2012-04-03T22:00:00Z,5391.045,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,37.56,-50,2012-04-03T22:15:00Z,5391.040,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,37.56,-50,2012-04-03T22:30:00Z,5391.033,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,37.56,-50,2012-04-03T22:45:00Z,5391.022,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,37.56,-50,2012-04-03T23:00:00Z,5391.002,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,37.56,-50,2012-04-03T23:15:00Z,5390.981,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,37.56,-50,2012-04-03T23:30:00Z,5390.950,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,37.56,-50,2012-04-03T23:45:00Z,5390.923,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,37.56,-50,2012-04-04T00:00:00Z,5390.889,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,37.56,-50,2012-04-04T00:15:00Z,5390.856,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,37.56,-50,2012-04-04T00:30:00Z,5390.816,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,37.56,-50,2012-04-04T00:45:00Z,5390.780,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,37.56,-50,2012-04-04T01:00:00Z,5390.741,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,37.56,-50,2012-04-04T01:15:00Z,5390.699,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,37.56,-50,2012-04-04T01:30:00Z,5390.658,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,37.56,-50,2012-04-04T01:45:00Z,5390.621,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,37.56,-50,2012-04-04T02:00:00Z,5390.586,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,37.56,-50,2012-04-04T02:15:00Z,5390.553,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,37.56,-50,2012-04-04T02:30:00Z,5390.523,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,37.56,-50,2012-04-04T02:45:00Z,5390.499,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,37.56,-50,2012-04-04T03:00:00Z,5390.478,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,37.56,-50,2012-04-04T03:15:00Z,5390.460,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,37.56,-50,2012-04-04T03:30:00Z,5390.448,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,37.56,-50,2012-04-04T03:45:00Z,5390.438,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,37.56,-50,2012-04-04T04:00:00Z,5390.434,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,37.56,-50,2012-04-04T04:15:00Z,5390.437,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,37.56,-50,2012-04-04T04:30:00Z,5390.446,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,37.56,-50,2012-04-04T04:45:00Z,5390.456,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,37.56,-50,2012-04-04T05:00:00Z,5390.471,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,37.56,-50,2012-04-04T05:15:00Z,5390.492,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,37.56,-50,2012-04-04T05:30:00Z,5390.516,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,37.56,-50,2012-04-04T05:45:00Z,5390.544,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,37.56,-50,2012-04-04T06:00:00Z,5390.577,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,37.56,-50,2012-04-04T06:15:00Z,5390.608,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,37.56,-50,2012-04-04T06:30:00Z,5390.648,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,37.56,-50,2012-04-04T06:45:00Z,5390.687,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,37.56,-50,2012-04-04T07:00:00Z,5390.731,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,37.56,-50,2012-04-04T07:15:00Z,5390.773,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,37.56,-50,2012-04-04T07:30:00Z,5390.815,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,37.56,-50,2012-04-04T07:45:00Z,5390.855,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,37.56,-50,2012-04-04T08:00:00Z,5390.894,900
